Uniprot	Gene_name	Species
P51957	NEK4	Homo sapiens
P52304	polo	Drosophila melanogaster
P52332	Jak1	Mus musculus
P52333	JAK3	Homo sapiens
P52564	MAP2K6	Homo sapiens
P52785	Gucy2e	Mus musculus
P53349	Map3k1	Mus musculus
P53350	PLK1	Homo sapiens
P53351	Plk2	Mus musculus
P53355	DAPK1	Homo sapiens
P53666	LIMK2	Gallus gallus
P53667	LIMK1	Homo sapiens
P53668	Limk1	Mus musculus
P53669	Limk1	Rattus norvegicus
P53670	Limk2	Rattus norvegicus
P53671	LIMK2	Homo sapiens
P53767	Flt1	Rattus norvegicus
P53778	MAPK12	Homo sapiens
P53779	MAPK10	Homo sapiens
P54265	Dmpk	Mus musculus
P54350	Wee1	Drosophila melanogaster
P54352	eas	Drosophila melanogaster
P54367	CkIalpha	Drosophila melanogaster
P54644	pkbA	Dictyostelium discoideum
P54645	Prkaa1	Rattus norvegicus
P54646	PRKAA2	Homo sapiens
P54673	pikA	Dictyostelium discoideum
P54674	pikB	Dictyostelium discoideum
P54675	pikC	Dictyostelium discoideum
P54676	pikE	Dictyostelium discoideum
P54677	pikD	Dictyostelium discoideum
P54685	cdk7	Dictyostelium discoideum
P54753	EPHB3	Homo sapiens
P54754	Ephb3	Mus musculus
P54755	EPHA5	Gallus gallus
P54756	EPHA5	Homo sapiens
P54757	Epha5	Rattus norvegicus
P54758	Epha6	Rattus norvegicus
P54759	Epha7	Rattus norvegicus
P54760	EPHB4	Homo sapiens
P54761	Ephb4	Mus musculus
P54762	EPHB1	Homo sapiens
P54763	Ephb2	Mus musculus
P54764	EPHA4	Homo sapiens
P54936	lin-2	Caenorhabditis elegans
P55144	Tyro3	Mus musculus
P55146	Tyro3	Rattus norvegicus
P55203	GUCY2D	Bos taurus
P55204	GUCY2C	Sus scrofa
P55205	Gucy2g	Rattus norvegicus
P57058	HUNK	Homo sapiens
P57059	SIK1	Homo sapiens
P57078	RIPK4	Homo sapiens
P57097	Mertk	Rattus norvegicus
P57760	Stk16	Rattus norvegicus
P58750	Pim3	Mus musculus
P58801	Ripk2	Mus musculus
P59241	Aurka	Rattus norvegicus
P59895	Nek6	Rattus norvegicus
P62205	plk1	Xenopus tropicalis
P63085	Mapk1	Mus musculus
P63086	Mapk1	Rattus norvegicus
P63318	Prkcg	Mus musculus
P63319	Prkcg	Rattus norvegicus
P67827	CSNK1A1	Bos taurus
P67962	CSNK1A1	Gallus gallus
P67999	Rps6kb1	Rattus norvegicus
P68181	Prkacb	Mus musculus
P68182	Prkacb	Rattus norvegicus
P68399	CSNK2A1	Bos taurus
P68400	CSNK2A1	Homo sapiens
P68403	Prkcb	Rattus norvegicus
P68404	Prkcb	Mus musculus
P70181	Pip5k1b	Mus musculus
P70182	Pip5k1a	Mus musculus
P70218	Map4k1	Mus musculus
P70236	Map2k6	Mus musculus
P70268	Pkn1	Mus musculus
P70335	Rock1	Mus musculus
P70336	Rock2	Mus musculus
P70424	Erbb2	Mus musculus
P70451	Fer	Mus musculus
P70507	Grk4	Rattus norvegicus
P70531	Eef2k	Rattus norvegicus
P70539	Acvr1c	Rattus norvegicus
P70600	Ptk2b	Rattus norvegicus
P70618	Mapk14	Rattus norvegicus
P78356	PIP4K2B	Homo sapiens
P78362	SRPK2	Homo sapiens
P78368	CSNK1G2	Homo sapiens
P78527	PRKDC	Homo sapiens
P79432	CDK4	Sus scrofa
P79996	MAPK9	Gallus gallus
P80192	MAP3K9	Homo sapiens
P80201	Acvr1	Rattus norvegicus
P80202	Acvr1b	Rattus norvegicus
P80203	Acvrl1	Rattus norvegicus
P80204	Tgfbr1	Rattus norvegicus
P83097	Wsck	Drosophila melanogaster
P83098	Stlk	Drosophila melanogaster
P83099	Pkcdelta	Drosophila melanogaster
P83100	p38c	Drosophila melanogaster
P83101	gskt	Drosophila melanogaster
P83102	Dyrk3	Drosophila melanogaster
P83103	Haspin	Drosophila melanogaster
P83104	Takl1	Drosophila melanogaster
P83510	Tnik	Mus musculus
P83741	Wnk1	Mus musculus
P84199	nekl-4	Caenorhabditis elegans
P90648	mhkB	Dictyostelium discoideum
P90866	cdk-8	Caenorhabditis elegans
P90980	pkc-2	Caenorhabditis elegans
P91550	gcy-15	Caenorhabditis elegans
P92199	let-502	Caenorhabditis elegans
P92208	bsk	Drosophila melanogaster
P97313	Prkdc	Mus musculus
P97343	Uhmk1	Mus musculus
P97377	Cdk2	Mus musculus
P97477	Aurka	Mus musculus
P97504	Bmx	Mus musculus
P97523	Met	Rattus norvegicus
P97633	Csnk1a1	Rattus norvegicus
P97711	Grk6	Rattus norvegicus
P97756	Camkk1	Rattus norvegicus
P97793	Alk	Mus musculus
P97820	Map4k4	Mus musculus
P97874	Gak	Rattus norvegicus
P97924	Kalrn	Rattus norvegicus
Q00168	CaMKII	Drosophila melanogaster
Q00342	Flt3	Mus musculus
Q00495	Csf1r	Rattus norvegicus
Q00526	CDK3	Homo sapiens
Q00532	CDKL1	Homo sapiens
Q00534	CDK6	Homo sapiens
Q00535	CDK5	Homo sapiens
Q00536	CDK16	Homo sapiens
Q00537	CDK17	Homo sapiens
Q00655	SYK	Sus scrofa
Q00944	PTK2	Gallus gallus
Q00993	Axl	Mus musculus
Q01134	Chka	Rattus norvegicus
Q01279	Egfr	Mus musculus
Q01314	AKT1	Bos taurus
Q01621	Lck	Rattus norvegicus
Q01887	Ryk	Mus musculus
Q01973	ROR1	Homo sapiens
Q01974	ROR2	Homo sapiens
Q01986	Map2k1	Rattus norvegicus
Q02111	Prkcq	Mus musculus
Q02156	PRKCE	Homo sapiens
Q02399	CDK5	Bos taurus
Q02720	casK	Dictyostelium discoideum
Q02750	MAP2K1	Homo sapiens
Q02763	TEK	Homo sapiens
Q02779	MAP3K10	Homo sapiens
Q02846	GUCY2D	Homo sapiens
Q02858	Tek	Mus musculus
Q02956	Prkcz	Mus musculus
Q02977	YRK	Gallus gallus
Q03042	Pkg21D	Drosophila melanogaster
Q03043	for	Drosophila melanogaster
Q03114	Cdk5	Rattus norvegicus
Q03137	Epha4	Mus musculus
Q03141	Mark3	Mus musculus
Q03142	Fgfr4	Mus musculus
Q03145	Epha2	Mus musculus
Q03146	Ddr1	Mus musculus
Q03147	Cdk7	Mus musculus
Q03351	Ntrk3	Rattus norvegicus
Q03526	Itk	Mus musculus
Q03563	spk-1	Caenorhabditis elegans
Q03963	Eif2ak2	Mus musculus
Q04589	Fgfr1	Rattus norvegicus
Q04735	Cdk16	Mus musculus
Q04736	Yes1	Mus musculus
Q04759	PRKCQ	Homo sapiens
Q04771	ACVR1	Homo sapiens
Q04859	Mak	Mus musculus
Q04899	Cdk18	Mus musculus
Q04912	MST1R	Homo sapiens
Q04982	BRAF	Gallus gallus
Q05030	Pdgfrb	Rattus norvegicus
Q05397	PTK2	Homo sapiens
Q05438	BMPR1B	Gallus gallus
Q05512	Mark2	Mus musculus
Q05513	PRKCZ	Homo sapiens
Q05652	pll	Drosophila melanogaster
Q05655	PRKCD	Homo sapiens
Q05688	IGF1R	Bos taurus
Q05823	RNASEL	Homo sapiens
Q05876	FYN	Gallus gallus
Q05921	Rnasel	Mus musculus
Q06187	BTK	Homo sapiens
Q06226	Sgk1	Rattus norvegicus
Q06418	TYRO3	Homo sapiens
Q06486	Csnk1d	Rattus norvegicus
Q06805	TIE1	Bos taurus
Q06806	Tie1	Mus musculus
Q06807	TEK	Bos taurus
Q07002	CDK18	Homo sapiens
Q07014	Lyn	Rattus norvegicus
Q07174	Map3k8	Mus musculus
Q07292	lin-45	Caenorhabditis elegans
Q07407	htl	Drosophila melanogaster
Q07494	EPHB1	Gallus gallus
Q07496	EPHA4	Gallus gallus
Q07497	EPHB5	Gallus gallus
Q07498	EPHB3	Gallus gallus
Q07553	Gyc32E	Drosophila melanogaster
Q07832	Plk1	Mus musculus
Q07912	TNK2	Homo sapiens
Q08156	KIT	Gallus gallus
Q08345	DDR1	Homo sapiens
Q08881	ITK	Homo sapiens
Q08AE8	SPIRE1	Homo sapiens
Q08CW1	tlk2	Xenopus tropicalis
Q08DZ2	PRP4K	Bos taurus
Q08E52	PAK1	Bos taurus
Q09013	DMPK	Homo sapiens
Q09136	PRKAA1	Sus scrofa
Q09137	Prkaa2	Rattus norvegicus
Q09147	btl	Drosophila melanogaster
Q09298	pink-1	Caenorhabditis elegans
Q09371	ZK177.2	Caenorhabditis elegans
Q09435	gcy-1	Caenorhabditis elegans
Q09437	cdk-11.1	Caenorhabditis elegans
Q09488	sma-6	Caenorhabditis elegans
Q09499	ire-1	Caenorhabditis elegans
Q09503	ttbk-6	Caenorhabditis elegans
Q09537	grk-1	Caenorhabditis elegans
Q09595	R03D7.5	Caenorhabditis elegans
Q09639	grk-2	Caenorhabditis elegans
Q0GGW5	STK11	Gallus gallus
Q0IHQ8	stk10	Xenopus tropicalis
Q0IJ08	dyrk1a	Xenopus tropicalis
Q0KHQ5	Tao	Drosophila melanogaster
Q0KHT7	Drak	Drosophila melanogaster
Q0KHV6	Pink1	Drosophila melanogaster
Q0KK55	Kndc1	Mus musculus
Q0KL02	Trio	Mus musculus
Q0P5F7	PIP4K2C	Bos taurus
Q0P5I2	IRAK2	Bos taurus
Q0P6D2	DIPK1C	Homo sapiens
Q0V7M1	PSKH1	Bos taurus
Q0VBZ0	CSK	Bos taurus
Q0VCE3	TRIB3	Bos taurus
Q0VD22	STK33	Bos taurus
Q10028	gcy-3	Caenorhabditis elegans
Q10029	gcy-2	Caenorhabditis elegans
Q10656	egl-15	Caenorhabditis elegans
Q10664	mek-2	Caenorhabditis elegans
Q10925	sid-3	Caenorhabditis elegans
Q11090	C01C4.3	Caenorhabditis elegans
Q11112	C03B1.5	Caenorhabditis elegans
Q11177	dhs-27	Caenorhabditis elegans
Q11179	mapk-15	Caenorhabditis elegans
Q12851	MAP4K2	Homo sapiens
Q12852	MAP3K12	Homo sapiens
Q12866	MERTK	Homo sapiens
Q13043	STK4	Homo sapiens
Q13131	PRKAA1	Homo sapiens
Q13153	PAK1	Homo sapiens
Q13163	MAP2K5	Homo sapiens
Q13164	MAPK7	Homo sapiens
Q13177	PAK2	Homo sapiens
Q13188	STK3	Homo sapiens
Q13233	MAP3K1	Homo sapiens
Q13237	PRKG2	Homo sapiens
Q13308	PTK7	Homo sapiens
Q13315	ATM	Homo sapiens
Q13418	ILK	Homo sapiens
Q13464	ROCK1	Homo sapiens
Q13470	TNK1	Homo sapiens
Q13523	PRP4K	Homo sapiens
Q13535	ATR	Homo sapiens
Q13546	RIPK1	Homo sapiens
Q13554	CAMK2B	Homo sapiens
Q13555	CAMK2G	Homo sapiens
Q13557	CAMK2D	Homo sapiens
Q13627	DYRK1A	Homo sapiens
Q13705	ACVR2B	Homo sapiens
Q13873	BMPR2	Homo sapiens
Q13882	PTK6	Homo sapiens
Q13976	PRKG1	Homo sapiens
Q14004	CDK13	Homo sapiens
Q14012	CAMK1	Homo sapiens
Q14164	IKBKE	Homo sapiens
Q14289	PTK2B	Homo sapiens
Q14680	MELK	Homo sapiens
Q14AX6	Cdk12	Mus musculus
Q15131	CDK10	Homo sapiens
Q15139	PRKD1	Homo sapiens
Q15208	STK38	Homo sapiens
Q15303	ERBB4	Homo sapiens
Q15349	RPS6KA2	Homo sapiens
Q15375	EPHA7	Homo sapiens
Q15418	RPS6KA1	Homo sapiens
Q15569	TESK1	Homo sapiens
Q15746	MYLK	Homo sapiens
Q15759	MAPK11	Homo sapiens
Q15772	SPEG	Homo sapiens
Q15831	STK11	Homo sapiens
Q15835	GRK1	Homo sapiens
Q16288	NTRK3	Homo sapiens
Q16512	PKN1	Homo sapiens
Q16513	PKN2	Homo sapiens
Q16539	MAPK14	Homo sapiens
Q16566	CAMK4	Homo sapiens
Q16584	MAP3K11	Homo sapiens
Q16620	NTRK2	Homo sapiens
Q16644	MAPKAPK3	Homo sapiens
Q16659	MAPK6	Homo sapiens
Q16671	AMHR2	Homo sapiens
Q16816	PHKG1	Homo sapiens
Q16832	DDR2	Homo sapiens
Q17446	pmk-1	Caenorhabditis elegans
Q17833	old-1	Caenorhabditis elegans
Q17850	pak-1	Caenorhabditis elegans
Q17941	akt-1	Caenorhabditis elegans
Q17QS4	PIP5KL1	Bos taurus
Q17QV9	STK40	Bos taurus
Q17R13	TNK2	Bos taurus
Q18163	ddr-1	Caenorhabditis elegans
Q18331	gcy-11	Caenorhabditis elegans
Q18486	coq-8	Caenorhabditis elegans
Q18846	rskn-2	Caenorhabditis elegans
Q19187	gcy-12	Caenorhabditis elegans
Q19192	pek-1	Caenorhabditis elegans
Q19238	F09A5.2	Caenorhabditis elegans
Q19266	pkc-3	Caenorhabditis elegans
Q19469	sad-1	Caenorhabditis elegans
Q19768	gcy-13	Caenorhabditis elegans
Q19848	vrk-1	Caenorhabditis elegans
Q1ECX4	tlk2	Danio rerio
Q1EG27	Myo3b	Mus musculus
Q1HG70	MAP2K2	Canis lupus familiaris
Q1HKZ5	Map3k13	Mus musculus
Q1JPZ3	src	Danio rerio
Q1LUA6	trio	Danio rerio
Q1LX51	wee2	Danio rerio
Q1LYM3	spire1	Danio rerio
Q1RLQ5	dipk1a	Danio rerio
Q1RLU9	cdk15	Danio rerio
Q1RMT7	RIOK3	Bos taurus
Q1RMT8	IRAK4	Bos taurus
Q1XHL7	grk7b	Danio rerio
Q1ZXC8	pXi	Dictyostelium discoideum
Q1ZXD6	roco5	Dictyostelium discoideum
Q1ZXH2	fhkB	Dictyostelium discoideum
Q1ZXI5	DDB_G0278845	Dictyostelium discoideum
Q1ZXR2	DDB_G0267566	Dictyostelium discoideum
Q20085	wee-1.1	Caenorhabditis elegans
Q20347	mkk-4	Caenorhabditis elegans
Q20443	prk-2	Caenorhabditis elegans
Q20471	kin-20	Caenorhabditis elegans
Q20845	plk-3	Caenorhabditis elegans
Q21017	kin-29	Caenorhabditis elegans
Q21029	nsy-1	Caenorhabditis elegans
Q21038	ver-3	Caenorhabditis elegans
Q21041	ver-4	Caenorhabditis elegans
Q21307	mek-1	Caenorhabditis elegans
Q21360	mak-1	Caenorhabditis elegans
Q21734	rskn-1	Caenorhabditis elegans
Q21776	bub-1	Caenorhabditis elegans
Q22146	frk-1	Caenorhabditis elegans
Q22258	atl-1	Caenorhabditis elegans
Q22942	cka-2	Caenorhabditis elegans
Q23023	unc-51	Caenorhabditis elegans
Q23310	gcy-14	Caenorhabditis elegans
Q23356	mig-15	Caenorhabditis elegans
Q23357	cdk-11.2	Caenorhabditis elegans
Q23551	unc-22	Caenorhabditis elegans
Q23681	gcy-4	Caenorhabditis elegans
Q23682	gcy-5	Caenorhabditis elegans
Q23915	kinX	Dictyostelium discoideum
Q23977	hep	Drosophila melanogaster
Q24145	Shark	Drosophila melanogaster
Q24210	CASK	Drosophila melanogaster
Q24324	Dsor1	Drosophila melanogaster
Q24488	Ror	Drosophila melanogaster
Q24592	hop	Drosophila melanogaster
Q27324	drl	Drosophila melanogaster
Q28021	ROCK2	Bos taurus
Q28041	ACVR1	Bos taurus
Q28043	ACVR2A	Bos taurus
Q28283	TRIB2	Canis lupus familiaris
Q28824	MYLK	Bos taurus
Q28923	YES1	Canis lupus familiaris
Q28948	PRKAA2	Sus scrofa
Q28DZ1	chuk	Xenopus tropicalis
Q28FH2	scyl1	Xenopus tropicalis
Q28G26	pi4k2b	Xenopus tropicalis
Q28GW8	melk	Xenopus tropicalis
Q29RI0	COQ8A	Bos taurus
Q2HJF7	CAMK2D	Bos taurus
Q2HWD6	KIT	Sus scrofa
Q2KIP2	HASPIN	Bos taurus
Q2KJ16	PHKG2	Bos taurus
Q2L6W9	sax-1	Caenorhabditis elegans
Q2LGB3	IRAK1	Bos taurus
Q2M2I8	AAK1	Homo sapiens
Q2NL51	Gsk3a	Mus musculus
Q2PJ68	sgk-1	Caenorhabditis elegans
Q2QLE0	MET	Sus scrofa
Q2TA06	AURKA	Bos taurus
Q2TA25	PLK1	Bos taurus
Q2TBE6	Pi4k2a	Mus musculus
Q2TBL8	CDK10	Bos taurus
Q2YDN8	VRK3	Bos taurus
Q32KY4	CDK4	Bos taurus
Q32L23	LIMK2	Bos taurus
Q32MK0	MYLK3	Homo sapiens
Q32PI1	VRK1	Bos taurus
Q32PP3	pdik1l	Danio rerio
Q38SD2	LRRK1	Homo sapiens
Q3MHJ9	CAMK2B	Bos taurus
Q3MIX3	ADCK5	Homo sapiens
Q3MJK5	Cdk12	Rattus norvegicus
Q3SWY2	ILK	Bos taurus
Q3SWY6	STK25	Bos taurus
Q3SX21	CLK3	Bos taurus
Q3SYZ2	MAPKAPK3	Bos taurus
Q3SZJ2	RIPK2	Bos taurus
Q3SZW1	TSSK1B	Bos taurus
Q3T0N5	MAPK13	Bos taurus
Q3TUA9	Pomk	Mus musculus
Q3TYD6	Lmtk2	Mus musculus
Q3TZA2	Cdkl4	Mus musculus
Q3U1V8	Map3k9	Mus musculus
Q3U214	Mast3	Mus musculus
Q3U3Q1	Ulk3	Mus musculus
Q3UFB7	Ntrk1	Mus musculus
Q3UGM2	Nek10	Mus musculus
Q3UH66	Wnk2	Mus musculus
Q3UHC2	Lrrk1	Mus musculus
Q3UHJ0	Aak1	Mus musculus
Q3UHL1	Camkv	Mus musculus
Q3UIZ8	Mylk3	Mus musculus
Q3ULB5	Pak6	Mus musculus
Q3UMM4	Cdk10	Mus musculus
Q3UMW7	Mapkapk3	Mus musculus
Q3USZ8	Dipk2a	Mus musculus
Q3UTQ8	Cdkl5	Mus musculus
Q3UU96	Cdc42bpa	Mus musculus
Q3UUJ4	Strada	Mus musculus
Q3UVC0	Ksr2	Mus musculus
Q3UVR3	Ttbk2	Mus musculus
Q3UWA6	Gucy2c	Mus musculus
Q3UYH7	Grk3	Mus musculus
Q3V016	Hipk4	Mus musculus
Q3V129	Ulk4	Mus musculus
Q3V3A1	Cdk15	Mus musculus
Q3Y416	ckk-1	Caenorhabditis elegans
Q498D6	Fgfr4	Rattus norvegicus
Q49GP3	pi4kb	Danio rerio
Q49GP5	pi4k2b	Danio rerio
Q49HM9	grk7a	Danio rerio
Q4FZD7	Plk5	Mus musculus
Q4G050	Mknk1	Rattus norvegicus
Q4G3H4	chuk	Danio rerio
Q4JIM5	Abl2	Mus musculus
Q4JL91	ippk	Danio rerio
Q4KM34	Cdk20	Rattus norvegicus
Q4KM47	Cdk10	Rattus norvegicus
Q4KSH7	Map2k7	Rattus norvegicus
Q4QQS0	Irak2	Rattus norvegicus
Q4TVR5	DSTYK	Bos taurus
Q4V793	Hipk4	Rattus norvegicus
Q4V8A3	Dyrk3	Rattus norvegicus
Q4V8A9	Pomk	Rattus norvegicus
Q4VSN1	dstyk	Danio rerio
Q4VSN4	DSTYK	Canis lupus familiaris
Q501V0	pskh1	Danio rerio
Q504Y2	PKDCC	Homo sapiens
Q505I0	pi4k2a	Xenopus tropicalis
Q52KF3	Spire1	Mus musculus
Q52WX2	SBK1	Homo sapiens
Q53UA7	Taok3	Rattus norvegicus
Q54B33	pakE	Dictyostelium discoideum
Q54B48	DDB_G0293958	Dictyostelium discoideum
Q54BC9	dyrk2	Dictyostelium discoideum
Q54BF0	fhkA	Dictyostelium discoideum
Q54C18	DDB_G0293276	Dictyostelium discoideum
Q54C38	DDB_G0293292	Dictyostelium discoideum
Q54C71	kxcB	Dictyostelium discoideum
Q54C77	DDB_G0293184	Dictyostelium discoideum
Q54CY9	DDB_G0292624	Dictyostelium discoideum
Q54D75	DDB_G0292550	Dictyostelium discoideum
Q54DC8	DDB_G0292350	Dictyostelium discoideum
Q54DF2	mrkA	Dictyostelium discoideum
Q54DF7	DDB_G0292354	Dictyostelium discoideum
Q54DK3	cdc7	Dictyostelium discoideum
Q54DK4	ak1	Dictyostelium discoideum
Q54DY0	DDB_G0291918	Dictyostelium discoideum
Q54E34	DDB_G0291842	Dictyostelium discoideum
Q54EG9	DDB_G0291516	Dictyostelium discoideum
Q54EM1	DDB_G0291664	Dictyostelium discoideum
Q54ER4	atr1	Dictyostelium discoideum
Q54ET3	DDB_G0291350	Dictyostelium discoideum
Q54EY4	dst3	Dictyostelium discoideum
Q54F40	DDB_G0291133	Dictyostelium discoideum
Q54FH3	DDB_G0290859	Dictyostelium discoideum
Q54FR9	DDB_G0290621	Dictyostelium discoideum
Q54G28	DDB_G0290471	Dictyostelium discoideum
Q54G43	shkE	Dictyostelium discoideum
Q54GY6	kxcA	Dictyostelium discoideum
Q54H05	kinY	Dictyostelium discoideum
Q54H45	drkB	Dictyostelium discoideum
Q54H46	drkA	Dictyostelium discoideum
Q54HC6	arkA	Dictyostelium discoideum
Q54HD2	ndrD	Dictyostelium discoideum
Q54I36	pyk3	Dictyostelium discoideum
Q54IE8	irlE	Dictyostelium discoideum
Q54IF2	DDB_G0288795	Dictyostelium discoideum
Q54IH6	abkA	Dictyostelium discoideum
Q54IH8	ndrB	Dictyostelium discoideum
Q54IP4	shkB	Dictyostelium discoideum
Q54JC7	DDB_G0288147	Dictyostelium discoideum
Q54JG7	dst4	Dictyostelium discoideum
Q54JM2	DDB_G0287957	Dictyostelium discoideum
Q54JQ1	mkcC	Dictyostelium discoideum
Q54L00	DDB_G0287001	Dictyostelium discoideum
Q54L81	DDB_G0286841	Dictyostelium discoideum
Q54LH8	DDB_G0286627	Dictyostelium discoideum
Q54LR6	DDB_G0286481	Dictyostelium discoideum
Q54LU8	DDB_G0286465	Dictyostelium discoideum
Q54M77	roco8	Dictyostelium discoideum
Q54MH0	fhkD	Dictyostelium discoideum
Q54MV2	mrkB	Dictyostelium discoideum
Q54MY9	mkcA	Dictyostelium discoideum
Q54N73	7tmk1	Dictyostelium discoideum
Q54P00	abkD	Dictyostelium discoideum
Q54P26	samkB	Dictyostelium discoideum
Q54P47	ndrC	Dictyostelium discoideum
Q54PB4	DDB_G0284661	Dictyostelium discoideum
Q54PK8	DDB_G0284491	Dictyostelium discoideum
Q54PK9	pdkB	Dictyostelium discoideum
Q54PX0	DDB_G0284251	Dictyostelium discoideum
Q54Q69	dhkG	Dictyostelium discoideum
Q54QB1	erkB	Dictyostelium discoideum
Q54QD5	nek1	Dictyostelium discoideum
Q54QI2	DDB_G0283821	Dictyostelium discoideum
Q54QQ1	phg2	Dictyostelium discoideum
Q54QV3	yakA	Dictyostelium discoideum
Q54R58	DDB_G0283397	Dictyostelium discoideum
Q54R82	mkkA	Dictyostelium discoideum
Q54R95	DDB_G0283337	Dictyostelium discoideum
Q54R98	DDB_G0283301	Dictyostelium discoideum
Q54RB2	cdk11	Dictyostelium discoideum
Q54RB7	shkA	Dictyostelium discoideum
Q54RJ4	iksA	Dictyostelium discoideum
Q54RP7	DDB_G0283065	Dictyostelium discoideum
Q54RR9	DDB_G0282963	Dictyostelium discoideum
Q54RV3	pakG	Dictyostelium discoideum
Q54RZ7	DDB_G0282895	Dictyostelium discoideum
Q54S77	vps15	Dictyostelium discoideum
Q54SF9	mhkD	Dictyostelium discoideum
Q54SJ5	DDB_G0282429	Dictyostelium discoideum
Q54SK3	DDB_G0282417	Dictyostelium discoideum
Q54T05	rio2	Dictyostelium discoideum
Q54TA1	drkC	Dictyostelium discoideum
Q54TA3	mrkC	Dictyostelium discoideum
Q54TC3	slob1	Dictyostelium discoideum
Q54TH6	DDB_G0281745	Dictyostelium discoideum
Q54TM7	drkD	Dictyostelium discoideum
Q54TN4	mkcE	Dictyostelium discoideum
Q54TR5	abkB	Dictyostelium discoideum
Q54TW2	pdkA	Dictyostelium discoideum
Q54U31	shkD	Dictyostelium discoideum
Q54U65	7tmk2	Dictyostelium discoideum
Q54UA9	clkA	Dictyostelium discoideum
Q54UC0	dnapkcs	Dictyostelium discoideum
Q54UL8	mps1	Dictyostelium discoideum
Q54US6	DDB_G0280855	Dictyostelium discoideum
Q54UZ1	DDB_G0280717	Dictyostelium discoideum
Q54V35	DDB_G0280643	Dictyostelium discoideum
Q54V82	DDB_G0280559	Dictyostelium discoideum
Q54V83	DDB_G0280557	Dictyostelium discoideum
Q54VC0	DDB_G0280461	Dictyostelium discoideum
Q54VD8	rio1	Dictyostelium discoideum
Q54VI1	fhkE	Dictyostelium discoideum
Q54VU4	DDB_G0280133	Dictyostelium discoideum
Q54VU5	DDB_G0280131	Dictyostelium discoideum
Q54VV7	DDB_G0280111	Dictyostelium discoideum
Q54W07	bud32	Dictyostelium discoideum
Q54W86	DDB_G0279831	Dictyostelium discoideum
Q54WD7	DDB_G0279719	Dictyostelium discoideum
Q54WE5	prp4k	Dictyostelium discoideum
Q54WJ0	lkb1	Dictyostelium discoideum
Q54WK1	DDB_G0279609	Dictyostelium discoideum
Q54WS5	roco6	Dictyostelium discoideum
Q54WW7	DDB_G0279405	Dictyostelium discoideum
Q54WX4	aurK	Dictyostelium discoideum
Q54XH9	DDB_G0278921	Dictyostelium discoideum
Q54XI9	DDB_G0278909	Dictyostelium discoideum
Q54XJ4	DDB_G0278901	Dictyostelium discoideum
Q54XL6	fray1	Dictyostelium discoideum
Q54XQ2	rckA	Dictyostelium discoideum
Q54XS3	gdt1	Dictyostelium discoideum
Q54XX5	DDB_G0278535	Dictyostelium discoideum
Q54XY6	DDB_G0278521	Dictyostelium discoideum
Q54XZ5	DDB_G0278509	Dictyostelium discoideum
Q54Y06	DDB_G0278487	Dictyostelium discoideum
Q54Y26	ndrA	Dictyostelium discoideum
Q54Y55	shkC	Dictyostelium discoideum
Q54Y90	DDB_G0278665	Dictyostelium discoideum
Q54YF2	snfA	Dictyostelium discoideum
Q54YZ5	DDB_G0277989	Dictyostelium discoideum
Q54ZN3	DDB_G0277539	Dictyostelium discoideum
Q550K8	DDB_G0277071	Dictyostelium discoideum
Q550L8	ifkB	Dictyostelium discoideum
Q551H4	fray2	Dictyostelium discoideum
Q552C1	DDB_G0276181	Dictyostelium discoideum
Q552C6	zak2	Dictyostelium discoideum
Q552E9	pkgA	Dictyostelium discoideum
Q552Z2	fnkE	Dictyostelium discoideum
Q553E9	smg1	Dictyostelium discoideum
Q554D8	etnkB	Dictyostelium discoideum
Q554L2	DDB_G0274613	Dictyostelium discoideum
Q555U5	DDB_G0274821	Dictyostelium discoideum
Q556J6	DDB_G0272797	Dictyostelium discoideum
Q556Q3	irlF-1	Dictyostelium discoideum
Q556S2	pakH-1	Dictyostelium discoideum
Q556Y4	cak1-1	Dictyostelium discoideum
Q557G1	irlB-1	Dictyostelium discoideum
Q558U1	ifkA	Dictyostelium discoideum
Q559A2	irlA	Dictyostelium discoideum
Q559T8	DDB_G0272282	Dictyostelium discoideum
Q55A09	DDB_G0272254	Dictyostelium discoideum
Q55A55	DDB_G0272092	Dictyostelium discoideum
Q55BA0	DDB_G0271402	Dictyostelium discoideum
Q55BM1	DDB_G0270444	Dictyostelium discoideum
Q55BN8	nek2	Dictyostelium discoideum
Q55BQ3	scy2	Dictyostelium discoideum
Q55C57	glkA	Dictyostelium discoideum
Q55CA6	DDB_G0270146	Dictyostelium discoideum
Q55CE0	mkcF	Dictyostelium discoideum
Q55CL6	mekA	Dictyostelium discoideum
Q55CW1	samkD	Dictyostelium discoideum
Q55CW2	samkC	Dictyostelium discoideum
Q55CW3	samkA	Dictyostelium discoideum
Q55CY9	gdt8	Dictyostelium discoideum
Q55CZ1	gdt2	Dictyostelium discoideum
Q55D99	pakA	Dictyostelium discoideum
Q55DD4	pakD	Dictyostelium discoideum
Q55DJ8	irlC	Dictyostelium discoideum
Q55DJ9	irlD	Dictyostelium discoideum
Q55DK2	DDB_G0269628	Dictyostelium discoideum
Q55DU7	gdt4	Dictyostelium discoideum
Q55DV2	gdt6	Dictyostelium discoideum
Q55E58	pats1	Dictyostelium discoideum
Q55EC7	gefX	Dictyostelium discoideum
Q55EI8	DDB_G0268876	Dictyostelium discoideum
Q55EN5	DDB_G0268812	Dictyostelium discoideum
